Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  [78] comm3 (real.c:883 @ 402a18) [67] psinv (real.c:471 @ 40623f) [46] rprj3 (real.c:604 @ 406da0)
 [101] comm3 (real.c:884 @ 402a23) [68] psinv (real.c:468 @ 406243) [26] rprj3 (real.c:605 @ 406dac)
 [150] interp (real.c:651 @ 407900) [8] psinv (real.c:468 @ 406250) [27] rprj3 (real.c:604 @ 406db6)
  [71] interp (real.c:667 @ 407b58) [64] psinv (real.c:471 @ 406256) [93] rprj3 (real.c:606 @ 406dbf)
 [102] interp (real.c:668 @ 407beb) [98] psinv (real.c:469 @ 40625a) [19] rprj3 (real.c:607 @ 406dcc)
 [103] interp (real.c:669 @ 407bfe) [112] psinv (real.c:468 @ 40625e) [15] rprj3 (real.c:606 @ 406dd6)
  [43] interp (real.c:670 @ 407c03) [49] psinv (real.c:471 @ 406262) [121] rprj3 (real.c:602 @ 406ddf)
 [104] interp (real.c:670 @ 407c0e) [25] psinv (real.c:469 @ 406266) [60] rprj3 (real.c:610 @ 406def)
  [53] interp (real.c:674 @ 407d54) [39] psinv (real.c:471 @ 40626a) [122] rprj3 (real.c:619 @ 407160)
  [54] interp (real.c:677 @ 407d59) [65] psinv (real.c:467 @ 40626e) [84] rprj3 (real.c:614 @ 407167)
 [105] interp (real.c:677 @ 407d73) [137] psinv (real.c:466 @ 406273) [123] rprj3 (real.c:619 @ 407185)
 [106] interp (real.c:673 @ 407e09) [113] psinv (real.c:467 @ 406315) [139] rprj3 (real.c:615 @ 407193)
 [131] interp (real.c:683 @ 407e32) [146] randlc (randdp.c:5 @ 40a5e0) [140] rprj3 (real.c:620 @ 4071a2)
  [97] interp (real.c:681 @ 407e40) [151] resid (real.c:511 @ 405290) [61] rprj3 (real.c:618 @ 4071ba)
  [35] interp (real.c:680 @ 407e46) [21] resid (real.c:522 @ 405500) [141] rprj3 (real.c:618 @ 4071d7)
  [75] interp (real.c:683 @ 407e69) [11] resid (real.c:523 @ 4055b0) [50] rprj3 (real.c:617 @ 4071db)
  [79] interp (real.c:682 @ 407e7d) [9] resid (real.c:524 @ 4055bc) [85] rprj3 (real.c:618 @ 4071ee)
 [132] interp (real.c:679 @ 407e94) [82] resid (real.c:523 @ 4055c7) [124] rprj3 (real.c:612 @ 4071f6)
  [55] interp (real.c:686 @ 407f4e) [29] resid (real.c:525 @ 4055cb) [125] rprj3 (real.c:612 @ 407227)
 [107] interp (real.c:689 @ 407f71) [4] resid (real.c:526 @ 4055d1) [34] rprj3 (real.c:619 @ 40722c)
  [76] interp (real.c:688 @ 407f85) [5] resid (real.c:524 @ 4055dc) [94] rprj3 (real.c:620 @ 40724f)
 [133] interp (real.c:685 @ 407f9c) [30] resid (real.c:523 @ 4055e4) [126] rprj3 (real.c:616 @ 40726a)
  [87] interp (real.c:695 @ 40803e) [16] resid (real.c:525 @ 4055e9) [127] rprj3 (real.c:610 @ 40726f)
  [88] interp (real.c:693 @ 408048) [1] resid (real.c:526 @ 4055f2) [142] rprj3 (real.c:616 @ 407325)
  [23] interp (real.c:692 @ 40804d) [57] resid (real.c:525 @ 4055fa) [143] rprj3 (real.c:614 @ 40732f)
  [89] interp (real.c:693 @ 408061) [58] resid (real.c:528 @ 405697) [147] vranlc (randdp.c:72 @ 40a6b0)
 [134] interp (real.c:692 @ 408065) [10] resid (real.c:537 @ 405749) [128] vranlc (randdp.c:122 @ 40a6e9)
 [108] interp (real.c:693 @ 40806c) [59] resid (real.c:530 @ 40578e) [129] vranlc (randdp.c:128 @ 40a710)
  [24] interp (real.c:695 @ 408070) [2] resid (real.c:530 @ 405799) [62] vranlc (randdp.c:128 @ 40a71d)
  [80] interp (real.c:694 @ 408083) [114] resid (real.c:537 @ 40579f) [51] vranlc (randdp.c:129 @ 40a726)
 [148] norm2u3 (real.c:808 @ 4023f0) [41] resid (real.c:538 @ 4057b0) [95] vranlc (randdp.c:131 @ 40a72a)
 [135] norm2u3 (real.c:825 @ 4024d0) [32] resid (real.c:537 @ 4057b4) [96] vranlc (randdp.c:129 @ 40a72e)
  [44] norm2u3 (real.c:826 @ 4024e0) [99] resid (real.c:538 @ 4057b8) [47] vranlc (randdp.c:130 @ 40a732)
  [45] norm2u3 (real.c:827 @ 4024f0) [115] resid (real.c:530 @ 4057bc) [69] vranlc (randdp.c:131 @ 40a73a)
  [90] norm2u3 (real.c:826 @ 4024fc) [40] resid (real.c:537 @ 4057c1) [144] vranlc (randdp.c:130 @ 40a73e)
 [149] psinv (real.c:449 @ 405d50) [33] resid (real.c:530 @ 4057c5) [52] vranlc (randdp.c:131 @ 40a743)
  [48] psinv (real.c:460 @ 405fa8) [17] resid (real.c:537 @ 4057ca) [72] vranlc (randdp.c:134 @ 40a748)
  [66] psinv (real.c:461 @ 406068) [3] resid (real.c:538 @ 4057ce) [63] vranlc (randdp.c:131 @ 40a74d)
  [36] psinv (real.c:462 @ 406074) [31] resid (real.c:529 @ 4057d6) [7] vranlc (randdp.c:132 @ 40a751)
 [136] psinv (real.c:461 @ 40607e) [116] resid (real.c:528 @ 4057db) [12] vranlc (randdp.c:133 @ 40a765)
  [81] psinv (real.c:463 @ 406082) [117] resid (real.c:537 @ 405a39) [22] vranlc (randdp.c:134 @ 40a771)
   [6] psinv (real.c:464 @ 406088) [91] resid (real.c:538 @ 405a66) [13] vranlc (randdp.c:135 @ 40a77a)
  [37] psinv (real.c:462 @ 406093) [92] resid (real.c:537 @ 405a71) [14] vranlc (randdp.c:136 @ 40a78e)
  [38] psinv (real.c:461 @ 40609b) [83] resid (real.c:530 @ 405aa2) [86] vranlc (randdp.c:137 @ 40a79b)
 [109] psinv (real.c:463 @ 4060a3) [118] resid (real.c:537 @ 405ab4) [153] wtime_ (wtime.c:8 @ 401800)
  [20] psinv (real.c:464 @ 4060ac) [119] resid (real.c:530 @ 405ac2) [130] zran3 (real.c:970 @ 403555)
  [56] psinv (real.c:463 @ 4060b4) [120] resid (real.c:537 @ 405ac6) [145] zran3 (real.c:969 @ 40357a)
 [110] psinv (real.c:460 @ 4060bc) [74] resid (real.c:538 @ 405ace) [70] zran3 (real.c:970 @ 403587)
